question,model,en_model_answer,en_correct_answer,modified_model_answer,modified_correct_answer,gr_model_answer,gr_correct_answer,model_prediction_score,nlp_score,levenshtein_score,substring_score,sentence_transformers_score,greek_sentence_transformers_score,F1_score,weighted_total_score,is_correct (labeled by human),is_correct (labeled by machine),is_correct (labeled by human)
,rsvp-ai/bertserini-bert-base-squad,a general feast of acquaintance,In 393 AD the emperor Theodosius forbade their conduction,a general feast of acquaintance,in 393 ad the emperor theodosius forbade their conduction,μια γενική γιορτή γνωριμίας,Το 393 μ.Χ. ο αυτοκράτορας Θεοδόσιος απαγόρευσε τη διεξαγωγή τους,0.379908979,0.64,0.246,0.318,0.261,0.083,0,0.2888,no,no,no
,deepset/minilm-uncased-squad2,a general feast of acquaintance,In 393 AD the emperor Theodosius forbade their conduction,a general feast of acquaintance,in 393 ad the emperor theodosius forbade their conduction,μια γενική γιορτή γνωριμίας,Το 393 μ.Χ. ο αυτοκράτορας Θεοδόσιος απαγόρευσε τη διεξαγωγή τους,0.369992614,0.64,0.246,0.318,0.261,0.083,0,0.2888,no,no,no
,dmis-lab/biobert-large-cased-v1.1-squad,a general feast of acquaintance,In 393 AD the emperor Theodosius forbade their conduction,a general feast of acquaintance,in 393 ad the emperor theodosius forbade their conduction,μια γενική γιορτή γνωριμίας,Το 393 μ.Χ. ο αυτοκράτορας Θεοδόσιος απαγόρευσε τη διεξαγωγή τους,0.329923689,0.64,0.246,0.318,0.261,0.083,0,0.2888,no,no,no
,deepset/bert-base-cased-squad2,in a general feast of acquaintance,In 393 AD the emperor Theodosius forbade their conduction,in a general feast of acquaintance,in 393 ad the emperor theodosius forbade their conduction,σε μια γενική γιορτή γνωριμίας,Το 393 μ.Χ. ο αυτοκράτορας Θεοδόσιος απαγόρευσε τη διεξαγωγή τους,0.335433632,0.687,0.298,0.374,0.254,0.1,0.133333333,0.332866667,no,no,no
,bert-large-cased-whole-word-masking-finetuned-squad,the Emperor Theodosius forbade their conduct,In 393 AD the emperor Theodosius forbade their conduction,the emperor theodosius forbade their conduct,in 393 ad the emperor theodosius forbade their conduction,ο αυτοκράτορας Θεοδόσιος απαγόρασε τη συμπεριφορά τους,Το 393 μ.Χ. ο αυτοκράτορας Θεοδόσιος απαγόρευσε τη διεξαγωγή τους,0.144671828,0.851,0.772,0.871,0.907,0.686,0.666666667,0.830633333,no,yes,no
When were the first Olympic Games of antiquity held?,deepset/roberta-base-squad2,776 BC,in 776 B.C.,776 bc,in 776 bc,776 π.Χ.,το 776 π.Χ.,0.943896174,0.867,0.667,0.8,0.981,0.942,0.8,0.8725,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,776 BC,in 776 B.C.,776 bc,in 776 bc,776 π.Χ.,το 776 π.Χ.,0.830159247,0.867,0.667,0.8,0.981,0.942,0.8,0.8725,yes,yes,yes
,distilbert-base-cased-distilled-squad,776 BC,in 776 B.C.,776 bc,in 776 bc,776 π.Χ.,το 776 π.Χ.,0.928581834,0.867,0.667,0.8,0.981,0.942,0.8,0.8725,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,776 BC,in 776 B.C.,776 bc,in 776 bc,776 π.Χ.,το 776 π.Χ.,0.793619156,0.867,0.667,0.8,0.981,0.942,0.8,0.8725,yes,yes,yes
,distilbert-base-uncased-distilled-squad,776 BC,in 776 B.C.,776 bc,in 776 bc,776 π.Χ.,το 776 π.Χ.,0.969073415,0.867,0.667,0.8,0.981,0.942,0.8,0.8725,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,776 BC,in 776 B.C.,776 bc,in 776 bc,776 π.Χ.,το 776 π.Χ.,0.954924464,0.867,0.667,0.8,0.981,0.942,0.8,0.8725,yes,yes,yes
,deepset/minilm-uncased-squad2,776 BC,in 776 B.C.,776 bc,in 776 bc,776 π.Χ.,το 776 π.Χ.,0.934119463,0.867,0.667,0.8,0.981,0.942,0.8,0.8725,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,776 BC,in 776 B.C.,776 bc,in 776 bc,776 π.Χ.,το 776 π.Χ.,0.939360678,0.867,0.667,0.8,0.981,0.942,0.8,0.8725,yes,yes,yes
,deepset/bert-base-cased-squad2,776 BC,in 776 B.C.,776 bc,in 776 bc,776 π.Χ.,το 776 π.Χ.,0.985238492,0.867,0.667,0.8,0.981,0.942,0.8,0.8725,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,776 BC,in 776 B.C.,776 bc,in 776 bc,776 π.Χ.,το 776 π.Χ.,0.872437537,0.867,0.667,0.8,0.981,0.942,0.8,0.8725,yes,yes,yes
How long did the Celebration of the Olympic Games last?,deepset/roberta-base-squad2,five days,five days,five days,five days,πέντε ημέρες,πέντε ημέρες,0.83136636,1,1,1,1,1,1,1,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,five days,five days,five days,five days,πέντε ημέρες,πέντε ημέρες,0.769397974,1,1,1,1,1,1,1,yes,yes,yes
,distilbert-base-cased-distilled-squad,a thousand years,five days,a thousand years,five days,χίλια χρόνια,πέντε ημέρες,0.848217249,0.776,0.188,0.16,0.563,0.334,0,0.4152,no,no,no
,deepset/bert-large-uncased-whole-word-masking-squad2,a thousand years,five days,a thousand years,five days,χίλια χρόνια,πέντε ημέρες,0.679028273,0.776,0.188,0.16,0.563,0.334,0,0.4152,no,no,no
,distilbert-base-uncased-distilled-squad,five days,five days,five days,five days,πέντε ημέρες,πέντε ημέρες,0.538196921,1,1,1,1,1,1,1,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,five days,five days,five days,five days,πέντε ημέρες,πέντε ημέρες,0.73766011,1,1,1,1,1,1,1,yes,yes,yes
,deepset/minilm-uncased-squad2,five days,five days,five days,five days,πέντε ημέρες,πέντε ημέρες,0.862406254,1,1,1,1,1,1,1,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,five days,five days,five days,five days,πέντε ημέρες,πέντε ημέρες,0.782840431,1,1,1,1,1,1,1,yes,yes,yes
,deepset/bert-base-cased-squad2,a thousand years,five days,a thousand years,five days,χίλια χρόνια,πέντε ημέρες,0.938539982,0.776,0.188,0.16,0.563,0.334,0,0.4152,no,no,no
,bert-large-cased-whole-word-masking-finetuned-squad,five days,five days,five days,five days,πέντε ημέρες,πέντε ημέρες,0.941053152,1,1,1,1,1,1,1,yes,yes,yes
How long did the Olympics ceremonies last?,deepset/roberta-base-squad2,a thousand years,They began on the 11th day of the month and lasted until the 15th day,a thousand years,they began on the 11th day of the month and lasted until the 15th day,χίλια χρόνια,’ρχιζαν την 11η ημέρα του μήνα και διαρκούσαν μέχρι τη 15η ημέρα,0.735527337,0.703,0.145,0.235,0.412,0.151,0,0.3434,no,no,no
,bert-large-uncased-whole-word-masking-finetuned-squad,a thousand years,They began on the 11th day of the month and lasted until the 15th day,a thousand years,they began on the 11th day of the month and lasted until the 15th day,χίλια χρόνια,’ρχιζαν την 11η ημέρα του μήνα και διαρκούσαν μέχρι τη 15η ημέρα,0.758246839,0.703,0.145,0.235,0.412,0.151,0,0.3434,no,no,no
,distilbert-base-cased-distilled-squad,a thousand years,They began on the 11th day of the month and lasted until the 15th day,a thousand years,they began on the 11th day of the month and lasted until the 15th day,χίλια χρόνια,’ρχιζαν την 11η ημέρα του μήνα και διαρκούσαν μέχρι τη 15η ημέρα,0.764241576,0.703,0.145,0.235,0.412,0.151,0,0.3434,no,no,no
,deepset/bert-large-uncased-whole-word-masking-squad2,a thousand years,They began on the 11th day of the month and lasted until the 15th day,a thousand years,they began on the 11th day of the month and lasted until the 15th day,χίλια χρόνια,’ρχιζαν την 11η ημέρα του μήνα και διαρκούσαν μέχρι τη 15η ημέρα,0.713611007,0.703,0.145,0.235,0.412,0.151,0,0.3434,no,no,no
,distilbert-base-uncased-distilled-squad,a thousand years,They began on the 11th day of the month and lasted until the 15th day,a thousand years,they began on the 11th day of the month and lasted until the 15th day,χίλια χρόνια,’ρχιζαν την 11η ημέρα του μήνα και διαρκούσαν μέχρι τη 15η ημέρα,0.508346617,0.703,0.145,0.235,0.412,0.151,0,0.3434,no,no,no
,rsvp-ai/bertserini-bert-base-squad,a thousand years,They began on the 11th day of the month and lasted until the 15th day,a thousand years,they began on the 11th day of the month and lasted until the 15th day,χίλια χρόνια,’ρχιζαν την 11η ημέρα του μήνα και διαρκούσαν μέχρι τη 15η ημέρα,0.610917628,0.703,0.145,0.235,0.412,0.151,0,0.3434,no,no,no
,deepset/minilm-uncased-squad2,a thousand years,They began on the 11th day of the month and lasted until the 15th day,a thousand years,they began on the 11th day of the month and lasted until the 15th day,χίλια χρόνια,’ρχιζαν την 11η ημέρα του μήνα και διαρκούσαν μέχρι τη 15η ημέρα,0.782529235,0.703,0.145,0.235,0.412,0.151,0,0.3434,no,no,no
,dmis-lab/biobert-large-cased-v1.1-squad,a thousand years,They began on the 11th day of the month and lasted until the 15th day,a thousand years,they began on the 11th day of the month and lasted until the 15th day,χίλια χρόνια,’ρχιζαν την 11η ημέρα του μήνα και διαρκούσαν μέχρι τη 15η ημέρα,0.786789,0.703,0.145,0.235,0.412,0.151,0,0.3434,no,no,no
,deepset/bert-base-cased-squad2,a thousand years,They began on the 11th day of the month and lasted until the 15th day,a thousand years,they began on the 11th day of the month and lasted until the 15th day,χίλια χρόνια,’ρχιζαν την 11η ημέρα του μήνα και διαρκούσαν μέχρι τη 15η ημέρα,0.931814492,0.703,0.145,0.235,0.412,0.151,0,0.3434,no,no,no
,bert-large-cased-whole-word-masking-finetuned-squad,a thousand years,They began on the 11th day of the month and lasted until the 15th day,a thousand years,they began on the 11th day of the month and lasted until the 15th day,χίλια χρόνια,’ρχιζαν την 11η ημέρα του μήνα και διαρκούσαν μέχρι τη 15η ημέρα,0.434229165,0.703,0.145,0.235,0.412,0.151,0,0.3434,no,no,no
To whom was the first day of the games dedicated?,deepset/roberta-base-squad2,the gods,To the gods,the gods,to the gods,οι θεοί,Στους θεούς,0.527877152,0.943,0.727,0.842,0.945,0.939,0.8,0.8835,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,Greek,To the gods,greek,to the gods,Ελληνικά,Στους θεούς,0.483236939,0.358,0.091,0.125,0.577,0.508,0,0.324,no,no,no
,distilbert-base-cased-distilled-squad,the gods,To the gods,the gods,to the gods,οι θεοί,Στους θεούς,0.52660501,0.943,0.727,0.842,0.945,0.939,0.8,0.8835,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,the gods,To the gods,the gods,to the gods,οι θεοί,Στους θεούς,0.647698164,0.943,0.727,0.842,0.945,0.939,0.8,0.8835,yes,yes,yes
,distilbert-base-uncased-distilled-squad,the gods,To the gods,the gods,to the gods,οι θεοί,Στους θεούς,0.635931194,0.943,0.727,0.842,0.945,0.939,0.8,0.8835,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,the gods,To the gods,the gods,to the gods,οι θεοί,Στους θεούς,0.560435414,0.943,0.727,0.842,0.945,0.939,0.8,0.8835,yes,yes,yes
,deepset/minilm-uncased-squad2,the gods,To the gods,the gods,to the gods,οι θεοί,Στους θεούς,0.724478781,0.943,0.727,0.842,0.945,0.939,0.8,0.8835,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,the gods,To the gods,the gods,to the gods,οι θεοί,Στους θεούς,0.276068121,0.943,0.727,0.842,0.945,0.939,0.8,0.8835,yes,yes,yes
,deepset/bert-base-cased-squad2,gods,To the gods,gods,to the gods,Θεών,Στους θεούς,0.909335792,0.769,0.364,0.533,0.881,0.914,0.5,0.6959,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,the gods,To the gods,the gods,to the gods,οι θεοί,Στους θεούς,0.632833302,0.943,0.727,0.842,0.945,0.939,0.8,0.8835,yes,yes,yes
What happened on the last day of the Olympic Games?,deepset/roberta-base-squad2,the wreaths were awarded,The awarding of wreaths,the wreaths were awarded,the awarding of wreaths,τα στεφάνια απονεμήθηκαν,Η απονομή των στεφάνων,0.391581088,0.871,0.292,0.468,0.849,0.757,0.5,0.6898,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,the wreaths were awarded,The awarding of wreaths,the wreaths were awarded,the awarding of wreaths,τα στεφάνια απονεμήθηκαν,Η απονομή των στεφάνων,0.431983918,0.871,0.292,0.468,0.849,0.757,0.5,0.6898,yes,yes,yes
,distilbert-base-cased-distilled-squad,the wreaths were awarded,The awarding of wreaths,the wreaths were awarded,the awarding of wreaths,τα στεφάνια απονεμήθηκαν,Η απονομή των στεφάνων,0.408736229,0.871,0.292,0.468,0.849,0.757,0.5,0.6898,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,the wreaths were awarded,The awarding of wreaths,the wreaths were awarded,the awarding of wreaths,τα στεφάνια απονεμήθηκαν,Η απονομή των στεφάνων,0.680769801,0.871,0.292,0.468,0.849,0.757,0.5,0.6898,yes,yes,yes
,distilbert-base-uncased-distilled-squad,the wreaths were awarded,The awarding of wreaths,the wreaths were awarded,the awarding of wreaths,τα στεφάνια απονεμήθηκαν,Η απονομή των στεφάνων,0.484195024,0.871,0.292,0.468,0.849,0.757,0.5,0.6898,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,the wreaths were awarded,The awarding of wreaths,the wreaths were awarded,the awarding of wreaths,τα στεφάνια απονεμήθηκαν,Η απονομή των στεφάνων,0.291868746,0.871,0.292,0.468,0.849,0.757,0.5,0.6898,yes,yes,yes
,deepset/minilm-uncased-squad2,the wreaths were awarded,The awarding of wreaths,the wreaths were awarded,the awarding of wreaths,τα στεφάνια απονεμήθηκαν,Η απονομή των στεφάνων,0.585796475,0.871,0.292,0.468,0.849,0.757,0.5,0.6898,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,the wreaths were awarded,The awarding of wreaths,the wreaths were awarded,the awarding of wreaths,τα στεφάνια απονεμήθηκαν,Η απονομή των στεφάνων,0.386771381,0.871,0.292,0.468,0.849,0.757,0.5,0.6898,yes,yes,yes
,deepset/bert-base-cased-squad2,the wreaths were awarded,The awarding of wreaths,the wreaths were awarded,the awarding of wreaths,τα στεφάνια απονεμήθηκαν,Η απονομή των στεφάνων,0.672443748,0.871,0.292,0.468,0.849,0.757,0.5,0.6898,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,Greek athletes withdrew and did not take part in the Games,The awarding of wreaths,greek athletes withdrew and did not take part in the games,the awarding of wreaths,Οι Έλληνες αθλητές αποχώρησαν και δεν  συμμετείχαν στους Αγώνες,Η απονομή των στεφάνων,0.135991365,0.606,0.259,0.173,0.192,0.056,0.133333333,0.267866667,no,no,no
What did the olive branches cut with?,deepset/roberta-base-squad2,gold scissors,With gold scissors,gold scissors,with gold scissors,χρυσό ψαλίδι,Με χρυσό ψαλίδι,0.889079213,0.938,0.722,0.839,0.968,0.976,0.8,0.8909,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,gold scissors,With gold scissors,gold scissors,with gold scissors,χρυσό ψαλίδι,Με χρυσό ψαλίδι,0.948761821,0.938,0.722,0.839,0.968,0.976,0.8,0.8909,yes,yes,yes
,distilbert-base-cased-distilled-squad,gold scissors,With gold scissors,gold scissors,with gold scissors,χρυσό ψαλίδι,Με χρυσό ψαλίδι,0.949240148,0.938,0.722,0.839,0.968,0.976,0.8,0.8909,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,gold scissors,With gold scissors,gold scissors,with gold scissors,χρυσό ψαλίδι,Με χρυσό ψαλίδι,0.969625175,0.938,0.722,0.839,0.968,0.976,0.8,0.8909,yes,yes,yes
,distilbert-base-uncased-distilled-squad,gold,With gold scissors,gold,with gold scissors,χρυσός,Με χρυσό ψαλίδι,0.932317674,0.743,0.222,0.364,0.604,0.825,0.5,0.5488,partially,partially,partially
,rsvp-ai/bertserini-bert-base-squad,gold scissors,With gold scissors,gold scissors,with gold scissors,χρυσό ψαλίδι,Με χρυσό ψαλίδι,0.978622556,0.938,0.722,0.839,0.968,0.976,0.8,0.8909,yes,yes,yes
,deepset/minilm-uncased-squad2,gold scissors,With gold scissors,gold scissors,with gold scissors,χρυσό ψαλίδι,Με χρυσό ψαλίδι,0.639968276,0.938,0.722,0.839,0.968,0.976,0.8,0.8909,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,gold scissors,With gold scissors,gold scissors,with gold scissors,χρυσό ψαλίδι,Με χρυσό ψαλίδι,0.970892906,0.938,0.722,0.839,0.968,0.976,0.8,0.8909,yes,yes,yes
